# ADR-012: a rule id is allocated once and never re-purposed.
#
# One line per allocated id: `<id> <concept>`. The concept is a stable slug for what the rule
# means, and it is what makes this file more than a list of numbers — a baseline is a set of
# (rule, file, hash) tuples, so a redefined rule silently un-suppresses or wrongly suppresses
# findings in every repository that has one.
#
# RuleCatalogTests.RuleIds_AreAppendOnly asserts that every line here is still present in
# rules.json with the same concept. A line is never deleted.
#
# ⚠ A line may carry a `retired` marker after its concept, and retirement has two shapes that are
# not interchangeable:
#
#   * Retired AFTER shipping — the rules.json entry stays and carries `"retired": true`. The
#     descriptor survives disabled, so nothing new is reported but `dotnet_diagnostic.<id>.severity`
#     still resolves instead of dangling, and docs/rules/<id>.md stays as a tombstone an old finding
#     can be looked up in. SK1020 and SK1034 are this kind (#281).
#   * Retired BEFORE it was ever built — there is no rules.json entry to flag, so this file is the
#     only record. SK6001 is this kind, and it is why the marker exists at all.
#
# RuleCatalogTests.RetiredIds_AreRecordedInTheRegister_AndNeverShip asserts both shapes, and asserts
# the consequence rather than the flag: a retired id's descriptor is not enabled by default.
SK0001 file-is-not-formatted
SK0002 line-too-long-unbreakable
SK0003 malformed-xml-doc
SK1005 file-scoped-namespace
SK1010 is-null-pattern
SK1020 argument-null-throw-if-null retired — CA1510 reports all three positives at stock (#281)
SK1030 null-coalescing-assignment
SK1034 count-property-over-linq retired — CA1860 and CA1829 cover all four positives at stock (#281)
SK1035 generic-enum-getvalues
SK2013 exception-constructed-not-thrown
SK2015 rethrow-loses-stack-trace
SK3001 async-void-method
SK3002 blocking-on-async
SK7001 cyclomatic-complexity
SK7002 cognitive-complexity
SK7003 method-length-in-statements
SK7004 type-size-in-members
SK7005 parameter-count
SK7006 nesting-depth
SK7010 public-api-comment-density
SK7020 duplicated-block
SK9001 unknown-config-key
SK9010 file-does-not-parse
SK9011 unbalanced-preprocessor
SK9020 binlog-stale-for-file
SK9021 binlog-missing-file
SK9030 analyzer-threw
SK9031 analyzer-failed-to-load
SK9099 token-stream-changed
SK4010 where-before-linq-operator
SK6003 abstract-type-public-constructor
SK8005 thread-sleep-in-test
SK5001 sql-from-request-concatenation
SK5002 process-start-from-request
SK5005 weak-cipher-algorithm
SK5007 certificate-validation-disabled
SK5009 xml-external-entity-resolution
SK1001 collection-expression
SK1006 using-declaration
SK1015 type-pattern-over-cast
SK1031 null-conditional-assignment
SK1033 dictionary-double-lookup
SK2007 collection-modified-during-enumeration
SK2009 enum-switch-missing-members
SK2014 empty-catch-swallows-exception
SK2016 interpolated-logger-message
SK3004 cancellation-token-not-forwarded
SK3005 fire-and-forget-task
SK3007 task-returned-from-using
SK3501 disposable-not-disposed
SK3502 owned-disposable-field
SK3503 async-disposable-disposed-synchronously
SK0201 arrange-body-style
SK0202 arrange-var
SK0203 arrange-target-typed-new
SK0204 arrange-default-literal
SK0205 arrange-null-pattern
SK0206 arrange-empty-string
SK0207 arrange-this-qualifier
SK0208 arrange-redundant-braces
SK0209 arrange-redundant-parentheses
SK0210 arrange-usings
SK0211 arrange-predefined-type
SK0212 arrange-accessibility
SK0213 arrange-namespace
SK0214 arrange-trailing-comma
SK0215 arrange-static-qualifier
SK0216 arrange-argument-style
SK0217 arrange-discard-declaration
SK6008 extension-method-on-object
SK7040 todo-without-issue-reference
SK7050 pragma-without-justification
SK7051 suppress-message-without-justification
SK8006 skipped-test-without-reason
SK2002 discarded-pure-result
SK2004 incomplete-equality-contract
SK2008 captured-loop-variable
SK2010 implicit-string-culture
SK2011 inherited-value-type-equals
SK1011 property-pattern
SK1014 relational-pattern
SK1028 span-decoding
SK3003 missing-configure-await
SK7030 file-length
SK1012 returning-switch-expression
SK1013 list-pattern
SK1026 utf8-literal
SK2001 constant-range-comparison
SK2012 self-assignment-or-comparison
SK3009 shared-lazy
SK4001 hot-path-linq
SK4002 loop-closure
SK4006 immediate-materialization
SK8007 nondeterministic-assertion
SK1023 dedicated-lock
SK2003 floating-point-equality
SK4004 constrained-boxing
SK4007 large-struct-argument
SK7060 commented-code
SK1003 field-backed-property
SK1022 search-values
SK1025 frozen-dictionary
SK2005 readonly-struct-mutation
SK4003 params-span-overload
SK2017 wrong-argument-name-in-exception
SK7070 obsolete-without-message
SK7071 exclude-from-code-coverage-without-justification
SK7072 empty-suppression-region
SK7073 empty-region
SK7074 unstructured-goto
SK2030 nan-comparison
SK2031 unused-value-parameter
SK2032 redundant-suppress-finalize
SK2033 stackalloc-in-loop
SK2034 escaped-keyword
SK6020 enum-constraint-without-struct
SK6021 exception-name-without-exception-base
SK6022 type-name-restates-its-kind
SK6023 empty-type
SK1040 nullable-short-form
SK1041 compound-assignment
SK1042 mergeable-if
SK1043 for-loop-is-while
SK1044 null-or-empty-check
SK3510 using-variable-disposed-again
SK3511 using-resource-object-initializer
SK3512 using-variable-returned
SK3020 null-returned-from-task-method
SK3021 spin-lock-in-readonly-field
SK6040 unused-out-variable
SK6041 wider-foreach-variable-type
SK4020 noncapturing-lambda
SK4021 stateless-private-method
SK4022 immutable-struct-not-readonly
SK4023 redundant-capacity-argument
SK4024 forced-garbage-collection
SK7090 not-implemented-member
SK7091 process-exit-outside-entry-point
SK7092 logged-and-rethrown
SK7093 console-instead-of-logger
SK4030 collection-own-method
SK4031 dictionary-key-relookup-in-loop
SK4032 substring-before-index-search
SK4033 concurrent-dictionary-expensive-member
SK4034 sort-before-filter
SK6030 type-in-global-namespace
SK6031 readonly-mutable-field
SK6032 abstract-type-without-abstraction
SK6033 only-private-constructors
SK6034 public-constant-field
SK3530 disposable-field-not-disposed
SK3531 dispose-async-without-base-call
SK3532 ref-struct-owns-undisposed-resource
SK3030 async-iterator-not-enumerated
SK3031 async-only-to-await
SK0230 empty-initializer
SK0231 redundant-string-call
SK0232 redundant-argument
SK0233 redundant-syntax
SK0234 redundant-cast
SK8020 test-class-attribute-missing
SK8021 test-class-without-tests
SK8022 swapped-assertion-arguments
SK7100 documentation-duplicates-base-member
SK7101 non-public-member-not-documented
SK0240 redundant-control-flow
SK0241 ineffective-modifier
SK0242 redundant-nullable-directive
SK0243 redundant-qualifier
SK0244 redundant-declaration
SK1050 pattern-matching-over-test-and-cast
SK1051 simplified-pattern
SK1052 merged-conditional-access
SK1053 discard-over-unread-local
SK1054 inline-out-variable
SK3040 lock-over-synchronization-primitive
SK3041 non-atomic-volatile-update
SK3042 incorrect-double-checked-locking
SK3043 inconsistent-lock-order
SK3044 inconsistently-synchronized-field
SK7080 inheritance-depth
SK7081 type-coupling
SK7082 nested-conditional
SK7083 repeated-string-literal
SK2050 integer-division-fraction
SK2051 fixed-result-arithmetic
SK2052 masked-shift-count
SK2053 nonnegative-size-comparison
SK2054 signed-modulus-equality
SK2090 finalizer-can-throw
SK2091 throw-in-finally
SK2092 null-reference-exception-caught
SK2093 caught-exception-discarded
SK2040 unintended-reference-comparison
SK2041 base-equality-call-is-identity
SK2042 hash-code-over-uncompared-member
SK2043 mutable-hash-code-member
SK2044 inconsistent-equality-members
SK2060 assignment-in-condition
SK2061 identical-operands
SK2062 repeated-condition
SK2063 misleading-operator-sequence
SK2064 non-short-circuit-boolean
SK6050 method-returns-a-constant
SK6051 is-check-against-this
SK6052 null-returned-instead-of-empty
SK6053 async-suffix-convention
SK2080 duplicate-initializer-key
SK2081 collection-passed-to-itself
SK2082 overwritten-collection-element
SK2083 provably-empty-collection
SK1060 index-from-end
SK1061 nameof-expression
SK1062 escape-free-string-literal
SK1063 interpolated-string-form
SK1064 unsigned-right-shift
SK1070 tuple-deconstruction
SK1071 with-expression-copy
SK1072 redundant-spread-element
SK1073 cached-empty-instance
SK2070 log-template-argument-count
SK2071 log-template-duplicate-property
SK2072 invisible-character-in-literal
SK2073 caught-exception-not-logged
SK7110 logger-declared-for-another-type

# Retired: allocated, superseded by a live id, and never to be built. The line stays so the
# number cannot be handed out a second time; there is no rules.json entry to point at, because
# the rule was retired before it was ever written.
SK6001 public-api-comment-density retired — superseded by SK7010, which shipped

# ⚠ Live allocations continue below the retired block. The register is append-only, so the order
# of the file is the order numbers were handed out and not a grouping; a line under this heading
# is retired only when the line itself says so.
SK2100 ineffective-thread-static
SK2101 pure-attribute-on-void
SK2102 debugger-display-missing-member
SK2103 duplicated-attribute
SK2120 bitwise-operation-on-plain-enum
SK2121 always-succeeding-as-operator
SK2150 implicit-string-search-culture
SK2151 invariant-culture-comparison
SK2152 platform-dependent-path-comparison
SK2153 queryable-degraded-to-enumerable
SK2154 sort-without-ordering
